---------- processing video for epoch 6 ----------
performing inference...
pred: 3.54 deg. took: 61.97 ms | cam=2.03 prep=3.00 pred=56.93 frequency(45)=1200000000
 
pred: 2.26 deg. took: 62.18 ms | cam=1.98 prep=3.00 pred=57.20 frequency(45)=1200000000
 
pred: 2.75 deg. took: 62.39 ms | cam=2.01 prep=3.04 pred=57.35 frequency(45)=1200000000
 
pred: 3.19 deg. took: 62.39 ms | cam=1.99 prep=3.10 pred=57.31 frequency(45)=1200000000
 
pred: 2.78 deg. took: 62.44 ms | cam=1.98 prep=3.15 pred=57.30 frequency(45)=1200000000
 
pred: 2.79 deg. took: 62.45 ms | cam=2.16 prep=3.02 pred=57.27 frequency(45)=1200000000
 
pred: 2.56 deg. took: 62.53 ms | cam=2.03 prep=3.04 pred=57.45 frequency(45)=1200000000
 
pred: 2.17 deg. took: 62.36 ms | cam=2.04 prep=3.00 pred=57.32 frequency(45)=1200000000
 
pred: 2.46 deg. took: 62.84 ms | cam=1.99 prep=3.02 pred=57.83 frequency(45)=1200000000
 
pred: 2.07 deg. took: 62.39 ms | cam=2.01 prep=3.11 pred=57.27 frequency(45)=1200000000
 
pred: 2.42 deg. took: 62.64 ms | cam=2.15 prep=3.17 pred=57.31 frequency(45)=1200000000
 
pred: 1.98 deg. took: 62.55 ms | cam=2.09 prep=3.05 pred=57.42 frequency(45)=1200000000
 
pred: 2.19 deg. took: 62.61 ms | cam=2.02 prep=3.01 pred=57.57 frequency(45)=1200002000
 
pred: 2.20 deg. took: 62.18 ms | cam=1.95 prep=3.05 pred=57.18 frequency(45)=1200000000
 
pred: 1.98 deg. took: 62.59 ms | cam=1.97 prep=3.02 pred=57.60 frequency(45)=1200000000
 
pred: 2.17 deg. took: 62.88 ms | cam=2.11 prep=3.15 pred=57.62 frequency(45)=1200000000
 
pred: 2.10 deg. took: 62.55 ms | cam=2.02 prep=3.11 pred=57.42 frequency(45)=1200000000
 
pred: 1.89 deg. took: 62.69 ms | cam=2.09 prep=3.05 pred=57.55 frequency(45)=1200000000
 
pred: 2.04 deg. took: 62.59 ms | cam=2.05 prep=3.01 pred=57.53 frequency(45)=1200000000
 
pred: 2.13 deg. took: 62.73 ms | cam=1.99 prep=3.05 pred=57.69 frequency(45)=1200002000
 
pred: 2.39 deg. took: 63.07 ms | cam=2.18 prep=3.01 pred=57.88 frequency(45)=1200000000
 
pred: 2.12 deg. took: 62.76 ms | cam=2.03 prep=3.15 pred=57.57 frequency(45)=1200000000
 
pred: 2.79 deg. took: 62.86 ms | cam=2.14 prep=3.02 pred=57.70 frequency(45)=1200000000
 
pred: 2.92 deg. took: 62.81 ms | cam=2.09 prep=3.05 pred=57.67 frequency(45)=1200000000
 
pred: 3.15 deg. took: 62.73 ms | cam=2.04 prep=3.04 pred=57.64 frequency(45)=1200000000
 
pred: 3.10 deg. took: 62.78 ms | cam=2.02 prep=3.01 pred=57.76 frequency(45)=1200000000
 
pred: 2.78 deg. took: 62.89 ms | cam=2.08 prep=3.11 pred=57.70 frequency(45)=1200002000
 
pred: 2.17 deg. took: 62.97 ms | cam=2.12 prep=3.11 pred=57.74 frequency(45)=1199998000
 
pred: 2.30 deg. took: 62.61 ms | cam=2.01 prep=3.01 pred=57.59 frequency(45)=1200000000
 
pred: 1.60 deg. took: 62.43 ms | cam=1.97 prep=3.06 pred=57.40 frequency(45)=1200000000
 
pred: 2.01 deg. took: 62.58 ms | cam=2.02 prep=3.01 pred=57.56 frequency(45)=1200000000
 
pred: 1.47 deg. took: 62.87 ms | cam=2.08 prep=3.12 pred=57.67 frequency(45)=1200000000
 
pred: 1.97 deg. took: 63.23 ms | cam=2.07 prep=3.11 pred=58.04 frequency(45)=1200000000
 
pred: 1.13 deg. took: 62.56 ms | cam=1.97 prep=3.07 pred=57.52 frequency(45)=1200000000
 
pred: 1.23 deg. took: 62.61 ms | cam=2.16 prep=3.01 pred=57.44 frequency(45)=1200000000
 
pred: 1.25 deg. took: 63.08 ms | cam=2.03 prep=3.01 pred=58.04 frequency(45)=1200000000
 
pred: 1.22 deg. took: 62.62 ms | cam=2.04 prep=5.75 pred=54.83 frequency(45)=1200000000
 
pred: 1.24 deg. took: 62.87 ms | cam=2.02 prep=3.11 pred=57.74 frequency(45)=1200000000
 
pred: 1.96 deg. took: 62.57 ms | cam=2.16 prep=3.00 pred=57.40 frequency(45)=1200000000
 
pred: 1.95 deg. took: 62.80 ms | cam=1.99 prep=3.01 pred=57.81 frequency(45)=1200000000
 
pred: 2.34 deg. took: 62.52 ms | cam=2.05 prep=3.00 pred=57.48 frequency(45)=1200000000
 
